name,official_name,slug,lga_key,lga,planning_region,zone,priority,page_status,index_recommendation,latitude,longitude,estimated_cbd_distance_km,nearby_areas,regional_anchors,property_profile,local_context,service_notes
Bentleigh,BENTLEIGH,bentleigh,GLEN EIRA,Glen Eira City,Inner South East,Bayside & Inner South-East,1,launch,True,-37.92264,145.03859,13.8,McKinnon | Hampton East | Brighton East,Caulfield | Carnegie | Elsternwick,established suburban and infill housing,"Bentleigh is within the established south-eastern and bayside suburban belt, close to McKinnon, Hampton East, Brighton East. The broader catchment is shaped by Caulfield, Carnegie, Elsternwick. The local job mix commonly includes brick units, period homes and medium-density infill.",Group jobs along the bay or major north-south corridors and confirm apartment access before arrival.
Brighton,BRIGHTON,brighton,BAYSIDE,Bayside City,Inner South East,Bayside & Inner South-East,1,launch,True,-37.90841,144.99569,10.9,Gardenvale | Brighton East | Elsternwick,Port Phillip Bay foreshore | Nepean Highway | Sandringham rail corridor,established suburban and infill housing,"Brighton is within the established south-eastern and bayside suburban belt, close to Gardenvale, Brighton East, Elsternwick. The broader catchment is shaped by Port Phillip Bay foreshore, Nepean Highway, Sandringham rail corridor. The local job mix commonly includes renovated detached homes, townhouses and bayside apartments.",Group jobs along the bay or major north-south corridors and confirm apartment access before arrival.
Carnegie,CARNEGIE,carnegie,GLEN EIRA,Glen Eira City,Inner South East,Bayside & Inner South-East,1,launch,True,-37.89337,145.0556,12.0,Glen Huntly | Murrumbeena | Ormond,Caulfield | Carnegie | Elsternwick,established suburban and infill housing,"Carnegie is within the established south-eastern and bayside suburban belt, close to Glen Huntly, Murrumbeena, Ormond. The broader catchment is shaped by Caulfield, Carnegie, Elsternwick. The local job mix commonly includes brick units, period homes and medium-density infill.",Group jobs along the bay or major north-south corridors and confirm apartment access before arrival.
Chadstone,CHADSTONE,chadstone,MONASH,Monash City,Eastern,Bayside & Inner South-East,1,launch,True,-37.88213,145.10018,14.2,Ashwood | Oakleigh | Mount Waverley,Monash Freeway | Glen Waverley | Clayton and Oakleigh activity centres,established suburban and infill housing,"Chadstone is within the established south-eastern and bayside suburban belt, close to Ashwood, Oakleigh, Mount Waverley. The broader catchment is shaped by Monash Freeway, Glen Waverley, Clayton and Oakleigh activity centres. The local job mix commonly includes brick veneer family homes, units and modern townhouse development.",Group jobs along the bay or major north-south corridors and confirm apartment access before arrival.
Cheltenham,CHELTENHAM,cheltenham,KINGSTON,Kingston City,Southern,Bayside & Inner South-East,1,launch,True,-37.96356,145.06031,18.7,Mentone | Highett | Moorabbin,Port Phillip Bay | Nepean Highway and Frankston rail corridor | Moorabbin and Dingley employment areas,established suburban and infill housing,"Cheltenham is within the established south-eastern and bayside suburban belt, close to Mentone, Highett, Moorabbin. The broader catchment is shaped by Port Phillip Bay, Nepean Highway and Frankston rail corridor, Moorabbin and Dingley employment areas. The local job mix commonly includes post-war houses, units and newer townhouses near the bay and employment areas.",Group jobs along the bay or major north-south corridors and confirm apartment access before arrival.
Glen Waverley,GLEN WAVERLEY,glen-waverley,MONASH,Monash City,Eastern,Bayside & Inner South-East,1,launch,True,-37.88159,145.16818,19.5,Wheelers Hill | Notting Hill | Mount Waverley,Monash Freeway | Glen Waverley | Clayton and Oakleigh activity centres,established suburban and infill housing,"Glen Waverley is within the established south-eastern and bayside suburban belt, close to Wheelers Hill, Notting Hill, Mount Waverley. The broader catchment is shaped by Monash Freeway, Glen Waverley, Clayton and Oakleigh activity centres. The local job mix commonly includes brick veneer family homes, units and modern townhouse development.",Group jobs along the bay or major north-south corridors and confirm apartment access before arrival.
Moorabbin,MOORABBIN,moorabbin,KINGSTON,Kingston City,Southern,Bayside & Inner South-East,1,launch,True,-37.94144,145.05779,16.5,Highett | Bentleigh East | Hampton East,Port Phillip Bay | Nepean Highway and Frankston rail corridor | Moorabbin and Dingley employment areas,established suburban and infill housing,"Moorabbin is within the established south-eastern and bayside suburban belt, close to Highett, Bentleigh East, Hampton East. The broader catchment is shaped by Port Phillip Bay, Nepean Highway and Frankston rail corridor, Moorabbin and Dingley employment areas. The local job mix commonly includes post-war houses, units and newer townhouses near the bay and employment areas.",Group jobs along the bay or major north-south corridors and confirm apartment access before arrival.
Mount Waverley,MOUNT WAVERLEY,mount-waverley,MONASH,Monash City,Eastern,Bayside & Inner South-East,1,launch,True,-37.87837,145.1285,16.2,Chadstone | Ashwood | Oakleigh East,Monash Freeway | Glen Waverley | Clayton and Oakleigh activity centres,established suburban and infill housing,"Mount Waverley is within the established south-eastern and bayside suburban belt, close to Chadstone, Ashwood, Oakleigh East. The broader catchment is shaped by Monash Freeway, Glen Waverley, Clayton and Oakleigh activity centres. The local job mix commonly includes brick veneer family homes, units and modern townhouse development.",Group jobs along the bay or major north-south corridors and confirm apartment access before arrival.
Oakleigh,OAKLEIGH,oakleigh,MONASH,Monash City,Eastern,Bayside & Inner South-East,1,launch,True,-37.90066,145.09568,15.1,Hughesdale | Huntingdale | Oakleigh East,Monash Freeway | Glen Waverley | Clayton and Oakleigh activity centres,established suburban and infill housing,"Oakleigh is within the established south-eastern and bayside suburban belt, close to Hughesdale, Huntingdale, Oakleigh East. The broader catchment is shaped by Monash Freeway, Glen Waverley, Clayton and Oakleigh activity centres. The local job mix commonly includes brick veneer family homes, units and modern townhouse development.",Group jobs along the bay or major north-south corridors and confirm apartment access before arrival.
South Yarra,SOUTH YARRA,south-yarra,STONNINGTON,Stonnington City,Inner South East,Bayside & Inner South-East,1,launch,True,-37.83922,144.99187,3.8,Prahran | Windsor | Toorak,Chapel Street | Glenferrie Road | Gardiners Creek,established suburban and infill housing,"South Yarra is within the established south-eastern and bayside suburban belt, close to Prahran, Windsor, Toorak. The broader catchment is shaped by Chapel Street, Glenferrie Road, Gardiners Creek. The local job mix commonly includes period homes, apartments and high-spec renovations.",Group jobs along the bay or major north-south corridors and confirm apartment access before arrival.
